UHF_42,Incident_Address_Borough,Date_Received,asbestos_count
bayside - littleneck,Queens,2010,5
bayside - littleneck,Queens,2011,2
bayside - littleneck,Queens,2012,6
bayside - littleneck,Queens,2013,1
bayside - littleneck,Queens,2014,5
bayside - littleneck,Queens,2015,4
bayside - littleneck,Queens,2016,9
bayside - littleneck,Queens,2017,6
bayside - littleneck,Queens,2018,3
bayside - littleneck,Queens,2019,2
bayside - littleneck,Queens,2020,4
bayside - littleneck,Queens,2021,3
bedford stuyvesant - crown heights,Brooklyn,2010,15
bedford stuyvesant - crown heights,Brooklyn,2011,34
bedford stuyvesant - crown heights,Brooklyn,2012,27
bedford stuyvesant - crown heights,Brooklyn,2013,25
bedford stuyvesant - crown heights,Brooklyn,2014,38
bedford stuyvesant - crown heights,Brooklyn,2015,25
bedford stuyvesant - crown heights,Brooklyn,2016,24
bedford stuyvesant - crown heights,Brooklyn,2017,22
bedford stuyvesant - crown heights,Brooklyn,2018,22
bedford stuyvesant - crown heights,Brooklyn,2019,32
bedford stuyvesant - crown heights,Brooklyn,2020,30
bedford stuyvesant - crown heights,Brooklyn,2021,10
bensonhurst - bay ridge,Brooklyn,2010,7
bensonhurst - bay ridge,Brooklyn,2011,16
bensonhurst - bay ridge,Brooklyn,2012,11
bensonhurst - bay ridge,Brooklyn,2013,9
bensonhurst - bay ridge,Brooklyn,2014,5
bensonhurst - bay ridge,Brooklyn,2015,19
bensonhurst - bay ridge,Brooklyn,2016,11
bensonhurst - bay ridge,Brooklyn,2017,10
bensonhurst - bay ridge,Brooklyn,2018,18
bensonhurst - bay ridge,Brooklyn,2019,6
bensonhurst - bay ridge,Brooklyn,2020,4
bensonhurst - bay ridge,Brooklyn,2021,7
borough park,Brooklyn,2010,5
borough park,Brooklyn,2011,15
borough park,Brooklyn,2012,13
borough park,Brooklyn,2013,14
borough park,Brooklyn,2014,17
borough park,Brooklyn,2015,19
borough park,Brooklyn,2016,14
borough park,Brooklyn,2017,13
borough park,Brooklyn,2018,10
borough park,Brooklyn,2019,13
borough park,Brooklyn,2020,16
borough park,Brooklyn,2021,5
canarsie - flatlands,Brooklyn,2011,7
canarsie - flatlands,Brooklyn,2012,8
canarsie - flatlands,Brooklyn,2013,6
canarsie - flatlands,Brooklyn,2014,5
canarsie - flatlands,Brooklyn,2015,6
canarsie - flatlands,Brooklyn,2016,3
canarsie - flatlands,Brooklyn,2017,4
canarsie - flatlands,Brooklyn,2018,9
canarsie - flatlands,Brooklyn,2019,11
canarsie - flatlands,Brooklyn,2020,8
central harlem - morningside heights,Manhattan,2010,5
central harlem - morningside heights,Manhattan,2011,25
central harlem - morningside heights,Manhattan,2012,9
central harlem - morningside heights,Manhattan,2013,16
central harlem - morningside heights,Manhattan,2014,17
central harlem - morningside heights,Manhattan,2015,17
central harlem - morningside heights,Manhattan,2016,15
central harlem - morningside heights,Manhattan,2017,14
central harlem - morningside heights,Manhattan,2018,17
central harlem - morningside heights,Manhattan,2019,20
central harlem - morningside heights,Manhattan,2020,9
central harlem - morningside heights,Manhattan,2021,7
chelsea - clinton,Manhattan,2010,13
chelsea - clinton,Manhattan,2011,27
chelsea - clinton,Manhattan,2012,20
chelsea - clinton,Manhattan,2013,13
chelsea - clinton,Manhattan,2014,16
chelsea - clinton,Manhattan,2015,15
chelsea - clinton,Manhattan,2016,12
chelsea - clinton,Manhattan,2017,5
