UHF_42,Incident_Address_Borough,Date_Received,dust_count
bayside - littleneck,Queens,2014,4
bayside - littleneck,Queens,2015,1
bayside - littleneck,Queens,2016,1
bayside - littleneck,Queens,2017,1
bayside - littleneck,Queens,2018,1
bayside - littleneck,Queens,2019,1
bayside - littleneck,Queens,2021,2
bedford stuyvesant - crown heights,Brooklyn,2010,7
bedford stuyvesant - crown heights,Brooklyn,2011,19
bedford stuyvesant - crown heights,Brooklyn,2012,35
bedford stuyvesant - crown heights,Brooklyn,2013,42
bedford stuyvesant - crown heights,Brooklyn,2014,57
bedford stuyvesant - crown heights,Brooklyn,2015,67
bedford stuyvesant - crown heights,Brooklyn,2016,43
bedford stuyvesant - crown heights,Brooklyn,2017,43
bedford stuyvesant - crown heights,Brooklyn,2018,29
bedford stuyvesant - crown heights,Brooklyn,2019,28
bedford stuyvesant - crown heights,Brooklyn,2020,36
bedford stuyvesant - crown heights,Brooklyn,2021,14
bensonhurst - bay ridge,Brooklyn,2010,4
bensonhurst - bay ridge,Brooklyn,2011,4
bensonhurst - bay ridge,Brooklyn,2012,6
bensonhurst - bay ridge,Brooklyn,2013,3
bensonhurst - bay ridge,Brooklyn,2014,5
bensonhurst - bay ridge,Brooklyn,2015,12
bensonhurst - bay ridge,Brooklyn,2016,5
bensonhurst - bay ridge,Brooklyn,2017,6
bensonhurst - bay ridge,Brooklyn,2018,6
bensonhurst - bay ridge,Brooklyn,2019,5
bensonhurst - bay ridge,Brooklyn,2020,2
bensonhurst - bay ridge,Brooklyn,2021,1
borough park,Brooklyn,2010,5
borough park,Brooklyn,2011,11
borough park,Brooklyn,2012,4
borough park,Brooklyn,2013,11
borough park,Brooklyn,2014,7
borough park,Brooklyn,2015,17
borough park,Brooklyn,2016,9
borough park,Brooklyn,2017,5
borough park,Brooklyn,2018,8
borough park,Brooklyn,2019,13
borough park,Brooklyn,2020,9
borough park,Brooklyn,2021,4
canarsie - flatlands,Brooklyn,2010,1
canarsie - flatlands,Brooklyn,2011,1
canarsie - flatlands,Brooklyn,2012,2
canarsie - flatlands,Brooklyn,2013,2
canarsie - flatlands,Brooklyn,2014,2
canarsie - flatlands,Brooklyn,2015,1
canarsie - flatlands,Brooklyn,2016,5
canarsie - flatlands,Brooklyn,2017,3
canarsie - flatlands,Brooklyn,2018,9
canarsie - flatlands,Brooklyn,2019,4
canarsie - flatlands,Brooklyn,2020,6
