UHF_42,Incident_Address_Borough,Date_Received,gasses_count
bayside - littleneck,Queens,2010,4
bayside - littleneck,Queens,2011,8
bayside - littleneck,Queens,2012,16
bayside - littleneck,Queens,2013,12
bayside - littleneck,Queens,2014,21
bayside - littleneck,Queens,2015,22
bayside - littleneck,Queens,2016,15
bayside - littleneck,Queens,2017,13
bayside - littleneck,Queens,2018,11
bayside - littleneck,Queens,2019,7
bayside - littleneck,Queens,2020,7
bayside - littleneck,Queens,2021,8
bedford stuyvesant - crown heights,Brooklyn,2010,50
bedford stuyvesant - crown heights,Brooklyn,2011,67
bedford stuyvesant - crown heights,Brooklyn,2012,69
bedford stuyvesant - crown heights,Brooklyn,2013,100
bedford stuyvesant - crown heights,Brooklyn,2014,94
bedford stuyvesant - crown heights,Brooklyn,2015,98
bedford stuyvesant - crown heights,Brooklyn,2016,94
bedford stuyvesant - crown heights,Brooklyn,2017,106
bedford stuyvesant - crown heights,Brooklyn,2018,78
bedford stuyvesant - crown heights,Brooklyn,2019,92
bedford stuyvesant - crown heights,Brooklyn,2020,97
bedford stuyvesant - crown heights,Brooklyn,2021,35
bensonhurst - bay ridge,Brooklyn,2010,23
bensonhurst - bay ridge,Brooklyn,2011,40
bensonhurst - bay ridge,Brooklyn,2012,28
bensonhurst - bay ridge,Brooklyn,2013,27
bensonhurst - bay ridge,Brooklyn,2014,36
bensonhurst - bay ridge,Brooklyn,2015,28
bensonhurst - bay ridge,Brooklyn,2016,31
bensonhurst - bay ridge,Brooklyn,2017,33
bensonhurst - bay ridge,Brooklyn,2018,32
bensonhurst - bay ridge,Brooklyn,2019,33
bensonhurst - bay ridge,Brooklyn,2020,25
bensonhurst - bay ridge,Brooklyn,2021,54
borough park,Brooklyn,2010,25
borough park,Brooklyn,2011,67
borough park,Brooklyn,2012,62
borough park,Brooklyn,2013,89
borough park,Brooklyn,2014,63
borough park,Brooklyn,2015,85
borough park,Brooklyn,2016,40
borough park,Brooklyn,2017,55
borough park,Brooklyn,2018,56
borough park,Brooklyn,2019,34
borough park,Brooklyn,2020,52
borough park,Brooklyn,2021,31
canarsie - flatlands,Brooklyn,2010,21
canarsie - flatlands,Brooklyn,2011,25
canarsie - flatlands,Brooklyn,2012,20
canarsie - flatlands,Brooklyn,2013,14
canarsie - flatlands,Brooklyn,2014,19
canarsie - flatlands,Brooklyn,2015,15
canarsie - flatlands,Brooklyn,2016,21
canarsie - flatlands,Brooklyn,2017,25
canarsie - flatlands,Brooklyn,2018,19
canarsie - flatlands,Brooklyn,2019,32
canarsie - flatlands,Brooklyn,2020,16
canarsie - flatlands,Brooklyn,2021,4
central harlem - morningside heights,Manhattan,2010,32
central harlem - morningside heights,Manhattan,2011,59
central harlem - morningside heights,Manhattan,2012,55
central harlem - morningside heights,Manhattan,2013,35
central harlem - morningside heights,Manhattan,2014,57
central harlem - morningside heights,Manhattan,2015,51
central harlem - morningside heights,Manhattan,2016,43
central harlem - morningside heights,Manhattan,2017,51
central harlem - morningside heights,Manhattan,2018,50
central harlem - morningside heights,Manhattan,2019,105
central harlem - morningside heights,Manhattan,2020,69
central harlem - morningside heights,Manhattan,2021,51
