UHF_42,Incident_Address_Borough,Date_Received,sewageL_count
bayside - littleneck,Queens,2019,2
bayside - littleneck,Queens,2020,1
bedford stuyvesant - crown heights,Brooklyn,2017,19
bedford stuyvesant - crown heights,Brooklyn,2018,16
bedford stuyvesant - crown heights,Brooklyn,2019,27
bedford stuyvesant - crown heights,Brooklyn,2020,50
bedford stuyvesant - crown heights,Brooklyn,2021,4
bensonhurst - bay ridge,Brooklyn,2017,2
bensonhurst - bay ridge,Brooklyn,2018,5
bensonhurst - bay ridge,Brooklyn,2019,10
bensonhurst - bay ridge,Brooklyn,2020,6
borough park,Brooklyn,2017,3
borough park,Brooklyn,2018,3
borough park,Brooklyn,2019,9
borough park,Brooklyn,2020,10
borough park,Brooklyn,2021,3
canarsie - flatlands,Brooklyn,2017,2
canarsie - flatlands,Brooklyn,2018,2
canarsie - flatlands,Brooklyn,2019,4
canarsie - flatlands,Brooklyn,2020,14
canarsie - flatlands,Brooklyn,2021,1
central harlem - morningside heights,Manhattan,2017,8
central harlem - morningside heights,Manhattan,2018,13
central harlem - morningside heights,Manhattan,2019,10
central harlem - morningside heights,Manhattan,2020,10
central harlem - morningside heights,Manhattan,2021,2
chelsea - clinton,Manhattan,2017,4
chelsea - clinton,Manhattan,2018,5
chelsea - clinton,Manhattan,2019,9
chelsea - clinton,Manhattan,2020,9
chelsea - clinton,Manhattan,2021,1
coney island - sheepshead bay,Brooklyn,2017,2
coney island - sheepshead bay,Brooklyn,2018,8
coney island - sheepshead bay,Brooklyn,2019,4
coney island - sheepshead bay,Brooklyn,2020,14
coney island - sheepshead bay,Brooklyn,2021,3
crotona -tremont,Bronx,2017,2
crotona -tremont,Bronx,2018,5
crotona -tremont,Bronx,2019,10
crotona -tremont,Bronx,2020,14
crotona -tremont,Bronx,2021,4
downtown - heights - slope,Brooklyn,2017,5
downtown - heights - slope,Brooklyn,2018,6
downtown - heights - slope,Brooklyn,2019,12
downtown - heights - slope,Brooklyn,2020,15
downtown - heights - slope,Brooklyn,2021,1
east flatbush - flatbush,Brooklyn,2017,8
east flatbush - flatbush,Brooklyn,2018,5
east flatbush - flatbush,Brooklyn,2019,18
east flatbush - flatbush,Brooklyn,2020,22
east flatbush - flatbush,Brooklyn,2021,7
east harlem,Manhattan,2017,5
east harlem,Manhattan,2018,2
