UHF_42,Incident_Address_Borough,Date_Received,ventilation_count
bayside - littleneck,Queens,2010,4
bayside - littleneck,Queens,2011,8
bayside - littleneck,Queens,2012,3
bayside - littleneck,Queens,2013,4
bayside - littleneck,Queens,2015,6
bayside - littleneck,Queens,2016,4
bayside - littleneck,Queens,2017,13
bayside - littleneck,Queens,2018,4
bayside - littleneck,Queens,2019,2
bayside - littleneck,Queens,2020,2
bayside - littleneck,Queens,2021,5
bedford stuyvesant - crown heights,Brooklyn,2010,24
bedford stuyvesant - crown heights,Brooklyn,2011,54
bedford stuyvesant - crown heights,Brooklyn,2012,34
bedford stuyvesant - crown heights,Brooklyn,2013,40
bedford stuyvesant - crown heights,Brooklyn,2014,36
bedford stuyvesant - crown heights,Brooklyn,2015,61
bedford stuyvesant - crown heights,Brooklyn,2016,51
bedford stuyvesant - crown heights,Brooklyn,2017,46
bedford stuyvesant - crown heights,Brooklyn,2018,40
bedford stuyvesant - crown heights,Brooklyn,2019,37
bedford stuyvesant - crown heights,Brooklyn,2020,46
bedford stuyvesant - crown heights,Brooklyn,2021,9
bensonhurst - bay ridge,Brooklyn,2010,9
bensonhurst - bay ridge,Brooklyn,2011,17
bensonhurst - bay ridge,Brooklyn,2012,19
bensonhurst - bay ridge,Brooklyn,2013,16
bensonhurst - bay ridge,Brooklyn,2014,30
bensonhurst - bay ridge,Brooklyn,2015,20
bensonhurst - bay ridge,Brooklyn,2016,14
bensonhurst - bay ridge,Brooklyn,2017,11
bensonhurst - bay ridge,Brooklyn,2018,11
bensonhurst - bay ridge,Brooklyn,2019,9
bensonhurst - bay ridge,Brooklyn,2020,10
bensonhurst - bay ridge,Brooklyn,2021,2
borough park,Brooklyn,2010,9
borough park,Brooklyn,2011,16
borough park,Brooklyn,2012,11
borough park,Brooklyn,2013,17
borough park,Brooklyn,2014,22
borough park,Brooklyn,2015,24
borough park,Brooklyn,2016,21
borough park,Brooklyn,2017,13
borough park,Brooklyn,2018,21
borough park,Brooklyn,2019,27
borough park,Brooklyn,2020,12
borough park,Brooklyn,2021,10
canarsie - flatlands,Brooklyn,2010,4
canarsie - flatlands,Brooklyn,2011,13
canarsie - flatlands,Brooklyn,2012,7
canarsie - flatlands,Brooklyn,2013,11
canarsie - flatlands,Brooklyn,2014,18
canarsie - flatlands,Brooklyn,2015,8
canarsie - flatlands,Brooklyn,2016,18
canarsie - flatlands,Brooklyn,2017,15
canarsie - flatlands,Brooklyn,2018,22
canarsie - flatlands,Brooklyn,2019,9
canarsie - flatlands,Brooklyn,2020,15
canarsie - flatlands,Brooklyn,2021,2
central harlem - morningside heights,Manhattan,2010,13
central harlem - morningside heights,Manhattan,2011,32
central harlem - morningside heights,Manhattan,2012,27
central harlem - morningside heights,Manhattan,2013,30
central harlem - morningside heights,Manhattan,2014,28
central harlem - morningside heights,Manhattan,2015,27
central harlem - morningside heights,Manhattan,2016,25
central harlem - morningside heights,Manhattan,2017,23
central harlem - morningside heights,Manhattan,2018,28
central harlem - morningside heights,Manhattan,2019,27
central harlem - morningside heights,Manhattan,2020,25
central harlem - morningside heights,Manhattan,2021,18
chelsea - clinton,Manhattan,2010,24
