,UHF_42,Incident_Address_Borough,Date_Received,asbestos_count,gasses_count,ventilation_count,mold_count,dust_count,sewageO_count,sewageL_count
0,bayside - littleneck,Queens,2010,5.0,4.0,4.0,3.0,,,
1,bayside - littleneck,Queens,2011,2.0,8.0,8.0,2.0,,,
2,bayside - littleneck,Queens,2012,6.0,16.0,3.0,2.0,,,
3,bayside - littleneck,Queens,2013,1.0,12.0,4.0,,,,
4,bayside - littleneck,Queens,2014,5.0,21.0,,,4.0,,
5,bayside - littleneck,Queens,2015,4.0,22.0,6.0,3.0,1.0,,
6,bayside - littleneck,Queens,2016,9.0,15.0,4.0,5.0,1.0,,
7,bayside - littleneck,Queens,2017,6.0,13.0,13.0,5.0,1.0,4.0,
8,bayside - littleneck,Queens,2018,3.0,11.0,4.0,6.0,1.0,3.0,
9,bayside - littleneck,Queens,2019,2.0,7.0,2.0,4.0,1.0,6.0,2.0
10,bayside - littleneck,Queens,2020,4.0,7.0,2.0,2.0,,3.0,1.0
11,bayside - littleneck,Queens,2021,3.0,8.0,5.0,,2.0,,
12,bedford stuyvesant - crown heights,Brooklyn,2010,15.0,50.0,24.0,3.0,7.0,,
13,bedford stuyvesant - crown heights,Brooklyn,2011,34.0,67.0,54.0,10.0,19.0,,
14,bedford stuyvesant - crown heights,Brooklyn,2012,27.0,69.0,34.0,12.0,35.0,,
15,bedford stuyvesant - crown heights,Brooklyn,2013,25.0,100.0,40.0,8.0,42.0,,
16,bedford stuyvesant - crown heights,Brooklyn,2014,38.0,94.0,36.0,18.0,57.0,,
17,bedford stuyvesant - crown heights,Brooklyn,2015,25.0,98.0,61.0,25.0,67.0,,
18,bedford stuyvesant - crown heights,Brooklyn,2016,24.0,94.0,51.0,14.0,43.0,,
19,bedford stuyvesant - crown heights,Brooklyn,2017,22.0,106.0,46.0,25.0,43.0,55.0,19.0
20,bedford stuyvesant - crown heights,Brooklyn,2018,22.0,78.0,40.0,16.0,29.0,75.0,16.0
21,bedford stuyvesant - crown heights,Brooklyn,2019,32.0,92.0,37.0,33.0,28.0,85.0,27.0
22,bedford stuyvesant - crown heights,Brooklyn,2020,30.0,97.0,46.0,5.0,36.0,54.0,50.0
23,bedford stuyvesant - crown heights,Brooklyn,2021,10.0,35.0,9.0,2.0,14.0,17.0,4.0
24,bensonhurst - bay ridge,Brooklyn,2010,7.0,23.0,9.0,4.0,4.0,,
25,bensonhurst - bay ridge,Brooklyn,2011,16.0,40.0,17.0,11.0,4.0,,
26,bensonhurst - bay ridge,Brooklyn,2012,11.0,28.0,19.0,8.0,6.0,,
27,bensonhurst - bay ridge,Brooklyn,2013,9.0,27.0,16.0,7.0,3.0,,
28,bensonhurst - bay ridge,Brooklyn,2014,5.0,36.0,30.0,18.0,5.0,,
29,bensonhurst - bay ridge,Brooklyn,2015,19.0,28.0,20.0,14.0,12.0,,
30,bensonhurst - bay ridge,Brooklyn,2016,11.0,31.0,14.0,4.0,5.0,,
31,bensonhurst - bay ridge,Brooklyn,2017,10.0,33.0,11.0,10.0,6.0,18.0,2.0
32,bensonhurst - bay ridge,Brooklyn,2018,18.0,32.0,11.0,9.0,6.0,16.0,5.0
33,bensonhurst - bay ridge,Brooklyn,2019,6.0,33.0,9.0,7.0,5.0,14.0,10.0
34,bensonhurst - bay ridge,Brooklyn,2020,4.0,25.0,10.0,7.0,2.0,7.0,6.0
